,bed,bath,sqft,type,lanudry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/sby/apa/d/2br-1ba-apartment-with-access/6567526194.html,2BR , 1Ba,845ft2,apartment,2,4,1,1,0,1,0,8,205,https://sfbay.craigslist.org/sby/apa/d/2br-1ba-apartment-with-access/6567526194.html
https://sfbay.craigslist.org/sby/apa/d/2br-2ba-apt-access-to-an/6567539594.html,2BR , 2Ba,950ft2,apartment,5,0,1,1,0,1,0,10,405,https://sfbay.craigslist.org/sby/apa/d/2br-2ba-apt-access-to-an/6567539594.html
https://sfbay.craigslist.org/sby/apa/d/2x2-loft-house-beautiful-view/6567614378.html,2BR , 2Ba,1053ft2,apartment,5,6,0,0,0,0,0,6,403,https://sfbay.craigslist.org/sby/apa/d/2x2-loft-house-beautiful-view/6567614378.html
https://sfbay.craigslist.org/sby/apa/d/2x2-walk-in-closets-natural/6567482189.html,2BR , 2Ba,1091ft2,apartment,0,0,1,1,1,1,1,6,378,https://sfbay.craigslist.org/sby/apa/d/2x2-walk-in-closets-natural/6567482189.html
https://sfbay.craigslist.org/sby/apa/d/3-bed-3-full-bath-townhome/6567665593.html,3BR , 3Ba,available jun 1,townhouse,5,6,0,0,0,0,0,3,105,https://sfbay.craigslist.org/sby/apa/d/3-bed-3-full-bath-townhome/6567665593.html
https://sfbay.craigslist.org/sby/apa/d/300-off-first-months-rent-and/6567724759.html,2BR , 2Ba,1206ft2,apartment,5,5,1,1,0,1,0,9,210,https://sfbay.craigslist.org/sby/apa/d/300-off-first-months-rent-and/6567724759.html
https://sfbay.craigslist.org/sby/apa/d/361-condon-court-available-now/6560890545.html,3BR , 2Ba,1130ft2,house,5,6,0,0,0,1,0,6,119,https://sfbay.craigslist.org/sby/apa/d/361-condon-court-available-now/6560890545.html
https://sfbay.craigslist.org/sby/apa/d/362-adeline-ave-awesome-home/6555736033.html,3BR , 2.5Ba,1721ft2,townhouse,5,6,0,0,0,1,0,23,175,https://sfbay.craigslist.org/sby/apa/d/362-adeline-ave-awesome-home/6555736033.html
https://sfbay.craigslist.org/sby/apa/d/3brbrand-new-modern-luxury/6567589504.html,3BR , 3Ba,1800ft2,apartment,5,5,1,1,1,1,0,9,203,https://sfbay.craigslist.org/sby/apa/d/3brbrand-new-modern-luxury/6567589504.html
https://sfbay.craigslist.org/sby/apa/d/4-bd-3-ba-first-time-rental/6561695654.html,4BR , 3Ba,2400ft2,house,2,5,1,1,0,0,0,12,205,https://sfbay.craigslist.org/sby/apa/d/4-bd-3-ba-first-time-rental/6561695654.html
